5-MCDG_1	5-MCDG	thymine DNA glycosylase 
CLINT1_1	CLINT1	clathrin interactor 1 
CLK2_1	CLK2	CDC like kinase 2 
CLK3_1	CLK3	CDC like kinase 3 
CLK4_1	CLK4	CDC like kinase 4 
CLK4_2	CLK4	CDC like kinase 4 
CLN6_1	CLN6	CLN6, transmembrane ER protein 
CLNS1A_1	CLNS1A	chloride nucleotide-sensitive channel 1A 
CLP1_1	CLP1	cleavage and polyadenylation factor I subunit 1 
CLPTM1L_1	CLPTM1L	CLPTM1 like 
CLPX_1	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit 
CLSPN_1	CLSPN	claspin 
CLSTN1_1	CLSTN1	calsyntenin 1 
CLTA_1	CLTA	
CLTB_1	CLTB	clathrin light chain B 
CLUAP1_1	CLUAP1	clusterin associated protein 1 
CLU_1	CLU	clusterin 
CLYBL_1	CLYBL	citrate lyase beta like 
CMAS_1	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase 
CMC1_1	CMC1	C-X9-C motif containing 1 
CMC2_1	CMC2	C-X9-C motif containing 2 
CMC4_1	CMC4	C-X9-C motif containing 4 
CMKLR1_1	CMKLR1	chemerin chemokine-like receptor 1 
CMPK1_1	CMPK1	cytidine/uridine monophosphate kinase 1 
CMSS1_1	CMSS1	chromosome 1 open reading frame, human C3orf26 
CMTM3_1	CMTM3	CKLF like MARVEL transmembrane domain containing 3 
CMTM6_1	CMTM6	CKLF like MARVEL transmembrane domain containing 6 
CMTM7_1	CMTM7	CKLF like MARVEL transmembrane domain containing 7 
CMTM8_1	CMTM8	CKLF like MARVEL transmembrane domain containing 8 
CNBP_1	CNBP	cellular nucleic acid-binding protein 
CNBP_2	CNBP	cellular nucleic acid-binding protein 
CNDP2_1	CNDP2	carnosine dipeptidase 2 
CNEP1R1_1	CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1 
CNIH1_1	CNIH1	cornichon family AMPA receptor auxiliary protein 1 
CNMD_1	CNMD	chondromodulin 
CNN2_1	CNN2	calponin 2 
CNN3_1	CNN3	calponin 3 
CNN3_2	CNN3	calponin 3 
CNNM2_1	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2 
CNOT10_1	CNOT10	CCR4-NOT transcription complex subunit 10 
CNOT1_1	CNOT1	CCR4-NOT transcription complex subunit 1 
CNOT1_2	CNOT1	CCR4-NOT transcription complex subunit 1 
CNOT2_1	CNOT2	CCR4-NOT transcription complex subunit 2 
CNOT4_1	CNOT4	CCR4-NOT transcription complex subunit 4 
CNOT8_1	CNOT8	CCR4-NOT transcription complex subunit 8 
CNOT9_1	CNOT9	CCR4-NOT transcription complex subunit 9 
CNPPD1_1	CNPPD1	Protein CNPPD1 
CNP_1	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase 
CNRIP1_1	CNRIP1	cannabinoid receptor interacting protein 1 
CNTFR_1	CNTFR	
CNTFR_2	CNTFR	
CNTF_1	CNTF	ciliary neurotrophic factor 
CNTN1_1	CNTN1	contactin 1 
CNTN2_1	CNTN2	contactin 2 
CNTN2_2	CNTN2	contactin 2 
CNTN4_1	CNTN4	contactin 4 
CNTN5_1	CNTN5	Contactin-5 
CNTN5_2	CNTN5	Contactin-5 
CNTNAP1_1	CNTNAP1	contactin associated protein 1 
CNTRL_1	CNTRL	centriolin 
COA3_1	COA3	cytochrome c oxidase assembly factor 3 
COA6_1	COA6	cytochrome c oxidase assembly factor 6 
COA7_1	COA7	cytochrome c oxidase assembly factor 7 
COA7_2	COA7	cytochrome c oxidase assembly factor 7 
COCH_1	COCH	Cochlin 
COG1_1	COG1	component of oligomeric golgi complex 1 
COG2_1	COG2	component of oligomeric golgi complex 2 
COG6_1	COG6	component of oligomeric golgi complex 6 
COG7_1	COG7	component of oligomeric golgi complex 7 
COL12A1_1	COL12A1	collagen type XII alpha 1 chain 
COL14A1_1	COL14A1	collagen type XIV alpha 1 chain 
COL15A1_1	COL15A1	collagen type XV alpha 1 chain 
COL15A1_2	COL15A1	collagen type XV alpha 1 chain 
COL17A1_1	COL17A1	collagen type XVII alpha 1 chain 
COL1A2_1	COL1A2	collagen alpha-2 chain precursor 
COL20A1_1	COL20A1	collagen type XX alpha 1 chain 
COL3A1_1	COL3A1	collagen type III alpha 1 chain 
COL3A1_2	COL3A1	collagen type III alpha 1 chain 
COL4A1_1	COL4A1	collagen type IV alpha 1 chain 
COL6A1_1	COL6A1	collagen alpha-1 chain precursor 
COL6A2_1	COL6A2	Collagen alpha-2 chain 
COL6A3_1	COL6A3	collagen type VI alpha 3 chain 
COL8A1_1	COL8A1	collagen type VIII alpha 1 chain 
COL8A1_2	COL8A1	collagen type VIII alpha 1 chain 
COL9A1_1	COL9A1	collagen type IX alpha 1 chain 
COL9A3_1	COL9A3	collagen type IX alpha 3 chain 
COLEC10_1	COLEC10	Collectin-10 
COLEC12_1	COLEC12	collectin subfamily member 12 
COMMD10_1	COMMD10	
COMMD1_1	COMMD1	copper metabolism domain containing 1 
COMMD2_1	COMMD2	COMM domain containing 2 
COMMD3_1	COMMD3	COMM domain containing 3 
COMMD4_1	COMMD4	COMM domain containing 4 
COMMD6_1	COMMD6	COMM domain containing 6 
COMMD7_1	COMMD7	COMM domain containing 7 
COMMD8_1	COMMD8	COMM domain containing 8 
COMMD9_1	COMMD9	COMM domain containing 9 
COMP_1	COMP	cartilage oligomeric matrix protein 
COMTD1_1	COMTD1	catechol-O-methyltransferase domain containing 1 
COPA_1	COPA	coatomer protein complex subunit alpha 
COPB1_1	COPB1	coatomer protein complex subunit beta 1 
COPB2_1	COPB2	coatomer protein complex subunit beta 2 
COPE_1	COPE	coatomer protein complex subunit epsilon 
COPG1_1	COPG1	coatomer protein complex subunit gamma 1 
COPS2_1	COPS2	COP9 signalosome complex subunit 2 
COPS3_1	COPS3	COP9 signalosome subunit 3 
COPS4_1	COPS4	COP9 signalosome subunit 4 
COPS5_1	COPS5	COP9 signalosome subunit 5 
COPS7A_1	COPS7A	COP9 signalosome subunit 7A 
COPS7B_1	COPS7B	COP9 signalosome subunit 7B 
COPS7B_2	COPS7B	COP9 signalosome subunit 7B 
COPS8_1	COPS8	COP9 signalosome subunit 8 
COQ10B_1	COQ10B	coenzyme Q10B 
COQ2_1	COQ2	coenzyme Q2, polyprenyltransferase 
COQ3_1	COQ3	coenzyme Q3, methyltransferase 
COQ5_1	COQ5	coenzyme Q5, methyltransferase 
COQ6_1	COQ6	coenzyme Q6, monooxygenase 
COQ7_1	COQ7	coenzyme Q7, hydroxylase 
COQ8A_1	COQ8A	coenzyme Q8A 
COQ9_1	COQ9	coenzyme Q9 
CORO1C_1	CORO1C	coronin 1C 
CORO2B_1	CORO2B	coronin 2B 
COTL1_1	COTL1	coactosin like F-actin binding protein 1 
COX10_1	COX10	protoheme IX farnesyltransferase, mitochondrial 
COX11_1	COX11	COX11, cytochrome c oxidase copper chaperone 
COX15_1	COX15	COX15, cytochrome c oxidase assembly homolog 
COX16_1	COX16	COX16, cytochrome c oxidase assembly homolog 
COX17_1	COX17	COX17, cytochrome c oxidase copper chaperone 
COX18_1	COX18	COX18, cytochrome c oxidase assembly factor 
COX19_1	COX19	COX19, cytochrome c oxidase assembly factor 
COX4I1_1	COX4I1	cytochrome c oxidase subunit 4I1 
COX6A1_1	COX6A1	cytochrome c oxidase subunit 6A1 
COX7A2L_1	COX7A2L	cytochrome c oxidase subunit 7A2 like 
COX7A2_1	COX7A2	cytochrome c oxidase subunit 7A2 
COX7C_1	COX7C	
CP49_1	CP49	beaded filament structural protein 2 
CPA1_1	CPA1	carboxypeptidase A1 
CPA6_1	CPA6	carboxypeptidase A6 
CPAMD8_1	CPAMD8	C3 and PZP like, alpha-2-macroglobulin domain containing 8 
CPB2_1	CPB2	carboxypeptidase B2 
CPE_1	CPE	carboxypeptidase E 
CPLX1_1	CPLX1	
CPM_1	CPM	carboxypeptidase M 
CPN1_1	CPN1	carboxypeptidase N subunit 1 
CPNE1_1	CPNE1	copine 1 
CPNE2_1	CPNE2	copine 2 
CPNE2_2	CPNE2	copine 2 
CPNE3_1	CPNE3	copine 3 
CPNE4_1	CPNE4	copine 4 
CPNE8_1	CPNE8	copine 8 
CPNE9_1	CPNE9	copine family member 9 
CPOX_1	CPOX	coproporphyrinogen oxidase 
CPPED1_1	CPPED1	calcineurin like phosphoesterase domain containing 1 
CPQ_1	CPQ	carboxypeptidase Q 
CPS1_1	CPS1	carbamoyl-phosphate synthase 1 
CPSF2_1	CPSF2	cleavage and polyadenylation specific factor 2 
CPSF3_1	CPSF3	cleavage and polyadenylation specific factor 3 
CPSF6_1	CPSF6	cleavage and polyadenylation specific factor 6 
CPT1A_1	CPT1A	carnitine palmitoyltransferase 1A 
CPT2_1	CPT2	carnitine palmitoyltransferase 2 
CPTP_1	CPTP	ceramide-1-phosphate transfer protein 
CPZ_1	CPZ	carboxypeptidase Z 
CP_1	CP	ceruloplasmin 
CRABP-I_1	CRABP-I	Cellular retinoic acid-binding protein 1 
CRADD_1	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain 
CRCP_1	CRCP	CGRP receptor component 
CREB3L2_1	CREB3L2	cAMP responsive element binding protein 3 like 2 
CREB5_1	CREB5	cAMP responsive element binding protein 5 
CREBBP_1	CREBBP	CREB binding protein 
CREBL2_1	CREBL2	cAMP responsive element binding protein like 2 
CREBRF_1	CREBRF	CREB3 regulatory factor 
CRELD2_1	CRELD2	cysteine rich with EGF like domains 2 
CREM_1	CREM	cAMP responsive element modulator 
CREM_2	CREM	cAMP responsive element modulator 
CREPT_1	CREPT	regulation of nuclear pre-mRNA domain containing 1B 
CRHBP_1	CRHBP	
CRHR2_1	CRHR2	corticotropin releasing hormone receptor 2 
CRH_1	CRH	corticotropin releasing hormone 
CRIP2_1	CRIP2	cysteine rich protein 2 
CRIPT_1	CRIPT	CXXC repeat containing interactor of PDZ3 domain 
CRISPLD1_1	CRISPLD1	cysteine-rich secretory protein LCCL domain-containing 1 precursor 
CRK_1	CRK	Adapter molecule crk 
CRLF3_1	CRLF3	cytokine receptor like factor 3 
CRMP1A_1	CRMP1A	collapsin response mediator protein 1 
CRMP1A_2	CRMP1A	collapsin response mediator protein 1 
CRTAC1_1	CRTAC1	cartilage acidic protein 1 
CRTAP_1	CRTAP	cartilage associated protein 
CRTC1_1	CRTC1	CREB regulated transcription coactivator 1 
CRY2_1	CRY2	cryptochrome circadian regulator 2 
CRYAA_1	CRYAA	Alpha-crystallin A chain 
CRYAB_1	CRYAB	crystallin alpha B 
CRYBA1_1	CRYBA1	crystallin beta A1 
CRYBA2_1	CRYBA2	crystallin beta A2 
CRYBB1_1	CRYBB1	crystallin beta B1 
CRYBB2_1	CRYBB2	crystallin beta B2 
CRYBB3_1	CRYBB3	crystallin beta B3 
CRYL1_1	CRYL1	crystallin lambda 1 
CRYM_1	CRYM	crystallin mu 
CRYM_2	CRYM	crystallin mu 
CRYZL1_1	CRYZL1	crystallin zeta like 1 
CRYZL1_2	CRYZL1	crystallin zeta like 1 
CRYZL1_3	CRYZL1	crystallin zeta like 1 
CRYZ_1	CRYZ	crystallin zeta 
CRYZ_2	CRYZ	crystallin zeta 
CSDC2_1	CSDC2	cold shock domain containing C2 
CSDE1_1	CSDE1	cold shock domain-containing protein E1 
CSF1R_1	CSF1R	colony stimulating factor 1 receptor 
CSF3R_1	CSF3R	colony stimulating factor 3 receptor 
CSF3_1	CSF3	Myelomonocytic growth factor 
CSMD2_1	CSMD2	CUB and Sushi multiple domains 2 
CSNK1A1_1	CSNK1A1	Casein kinase I isoform alpha 
CSNK1D_1	CSNK1D	casein kinase 1 delta 
CSNK1E_1	CSNK1E	Casein kinase I isoform epsilon 
CSNK1G1_1	CSNK1G1	Casein kinase I isoform gamma-1 
CSNK1G1_2	CSNK1G1	Casein kinase I isoform gamma-1 
CSNK2A2_1	CSNK2A2	casein kinase 2 alpha 2 
CSRNP3_1	CSRNP3	cysteine and serine rich nuclear protein 3 
CSRP1_1	CSRP1	cysteine and glycine rich protein 1 
CSRP2_1	CSRP2	Cysteine and glycine-rich protein 2 
CSRP3_1	CSRP3	cysteine and glycine rich protein 3 
CSTA_1	CSTA	cystatin A 
CSTB_1	CSTB	cystatin B 
CSTF1_1	CSTF1	cleavage stimulation factor subunit 1 
CSTF3_1	CSTF3	cleavage stimulation factor subunit 3 
CS_1	CS	citrate synthase 
CTBP1_1	CTBP1	C-terminal-binding protein 1 
CTBS_1	CTBS	chitobiase 
CTCF_1	CTCF	CCCTC-binding factor 
CTDSPL2_1	CTDSPL2	CTD small phosphatase like 2 
CTDSPL_1	CTDSPL	CTD small phosphatase like 
CTDSPL_2	CTDSPL	CTD small phosphatase like 
CTGF_1	CTGF	connective tissue growth factor 
CTHRC1_1	CTHRC1	collagen triple helix repeat containing 1 
CTH_1	CTH	cystathionine gamma-lyase 
CTNNA1_1	CTNNA1	catenin alpha 1 
CTNNA1_2	CTNNA1	catenin alpha 1 
CTNNA3_1	CTNNA3	catenin alpha 3 
CTNNAL1_1	CTNNAL1	catenin alpha like 1 
CTNNB1_1	CTNNB1	catenin beta 1 
CTNNBL1_1	CTNNBL1	catenin beta like 1 
CTNND1_1	CTNND1	catenin delta 1 
CTNND1_2	CTNND1	catenin delta 1 
CTNS_1	CTNS	cystinosin, lysosomal cystine transporter 
CTPS1_1	CTPS1	CTP synthase 1 
CTRC_1	CTRC	chymotrypsin-C precursor 
CTSA_1	CTSA	cathepsin A 
CTSB_1	CTSB	cathepsin B 
CTSC_1	CTSC	cathepsin C 
CTSH_1	CTSH	cathepsin H 
CTSK_1	CTSK	cathepsin K 
CTSO_1	CTSO	cathepsin O 
CTSS_1	CTSS	cathepsin S 
CTSZ_1	CTSZ	cathepsin Z 
CTTNBP2NL_1	CTTNBP2NL	CTTNBP2 N-terminal like 
CTTNBP2NL_2	CTTNBP2NL	CTTNBP2 N-terminal like 
CTTNBP2_1	CTTNBP2	cortactin binding protein 2 
CUEDC2_1	CUEDC2	CUE domain containing 2 
CUL2_1	CUL2	cullin 2 
CUL4B_1	CUL4B	cullin 4B 
CUL4B_2	CUL4B	cullin 4B 
CUTC_1	CUTC	cutC copper transporter 
CWC15_1	CWC15	CWC15 spliceosome associated protein homolog 
CWC22_1	CWC22	CWC22 spliceosome associated protein homolog 
CWC25_1	CWC25	CWC25 spliceosome associated protein homolog 
CWC27_1	CWC27	
CWC27_2	CWC27	
CWF19L1_1	CWF19L1	CWF19 like 1, cell cycle control 
CX3CL1_1	CX3CL1	
CXCL14_1	CXCL14	C-X-C motif chemokine ligand 14 
CXCR1_1	CXCR1	
CXCR4_1	CXCR4	C-X-C motif chemokine receptor 4 
CXXC5_1	CXXC5	CXXC finger protein 5 
CXorf36_1	CXorf36	chromosome X open reading frame 36 
CXorf56_1	CXorf56	chromosome X open reading frame 56 
CYB561A3_1	CYB561A3	cytochrome b561 family member A3 
CYB5A_1	CYB5A	cytochrome b5 type A 
CYB5B_1	CYB5B	cytochrome b5 type B 
CYB5D2_1	CYB5D2	cytochrome b5 domain containing 2 
CYB5R2_1	CYB5R2	cytochrome b5 reductase 2 
CYB5R2_2	CYB5R2	cytochrome b5 reductase 2 
CYB5R3_1	CYB5R3	cytochrome b5 reductase 3 
CYBA_1	CYBA	cytochrome b-245 alpha chain 
CYBB_1	CYBB	cytochrome b-245 beta chain 
CYBRD1_1	CYBRD1	cytochrome b reductase 1 
CYCS_1	CYCS	cytochrome c, somatic 
CYP19A1_1	CYP19A1	aromatase 
CYP20A1_1	CYP20A1	cytochrome P450 family 20 subfamily A member 1 
CYP24A1_1	CYP24A1	cytochrome P450 family 24 subfamily A member 1 
CYP26A1_1	CYP26A1	cytochrome P450 family 26 subfamily A member 1 
CYP39A1_1	CYP39A1	cytochrome P450 family 39 subfamily A member 1 
CYP39A1_2	CYP39A1	cytochrome P450 family 39 subfamily A member 1 
CYP46A1_1	CYP46A1	cytochrome P450 family 46 subfamily A member 1 
CYP4V2_1	CYP4V2	cytochrome P450 family 4 subfamily V member 2 
CYP51_1	CYP51	cytochrome P450 family 51 subfamily A member 1 
CYP7A1_1	CYP7A1	cytochrome P450 family 7 subfamily A member 1 
CYP8B1_1	CYP8B1	cytochrome P450 family 8 subfamily B member 1 
CYR61_1	CYR61	Protein CYR61 
CYSTM1_1	CYSTM1	cysteine rich transmembrane module containing 1 
CYTH1_1	CYTH1	cytohesin 1 
CYTL1_1	CYTL1	cytokine like 1 
CYYR1_1	CYYR1	cysteine and tyrosine rich 1 
C_1	C	CCAAT/enhancer binding protein gamma 
ChALK5_1	ChALK5	transforming growth factor beta receptor 1 
DAAM1_1	DAAM1	dishevelled associated activator of morphogenesis 1 
DAAM2_1	DAAM2	dishevelled associated activator of morphogenesis 2 
DAAM2_2	DAAM2	dishevelled associated activator of morphogenesis 2 
DACT1_1	DACT1	dishevelled binding antagonist of beta catenin 1 
DAD1_1	DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 
DAGLB_1	DAGLB	diacylglycerol lipase beta 
DAP1_1	DAP1	death associated protein 
DAP3_1	DAP3	death associated protein 3 
DAPK1_1	DAPK1	
DAPK1_2	DAPK1	
DAPP1_1	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 
DARS_1	DARS	aspartyl-tRNA synthetase 
DAZAP1_1	DAZAP1	DAZ associated protein 1 
DBI_1	DBI	diazepam binding inhibitor, acyl-CoA binding protein 
DBN1_1	DBN1	drebrin 1 
DBNDD1_1	DBNDD1	dysbindin domain containing 1 
DBNDD1_2	DBNDD1	dysbindin domain containing 1 
DBNDD2_1	DBNDD2	dysbindin domain containing 2 
DBR1_1	DBR1	Lariat debranching enzyme 
DBT_1	DBT	dihydrolipoamide branched chain transacylase E2 
DBX1_1	DBX1	developing brain homeobox 1 
DBX2_1	DBX2	developing brain homeobox 2 
DCAF12_1	DCAF12	
DCAF13_1	DCAF13	DDB1- and CUL4-associated factor 13 
DCAF1_1	DCAF1	DDB1 and CUL4 associated factor 1 
DCAF7_1	DCAF7	DDB1 and CUL4 associated factor 7 
DCAKD_1	DCAKD	dephospho-CoA kinase domain containing 
DCBLD2_1	DCBLD2	discoidin, CUB and LCCL domain containing 2 
DCK_1	DCK	deoxycytidine kinase 
DCLRE1B_1	DCLRE1B	DNA cross-link repair 1B 
DCLRE1C_1	DCLRE1C	DNA cross-link repair 1C 
DCN_1	DCN	decorin 
DCTD_1	DCTD	dCMP deaminase 
DCTN3_1	DCTN3	
DCTN4_1	DCTN4	dynactin subunit 4 
DCTN5_1	DCTN5	dynactin subunit 5 
DCTN6_1	DCTN6	dynactin subunit 6 
DCT_1	DCT	dopachrome tautomerase 
DCUN1D1_1	DCUN1D1	DCN1-like protein 1 
DCUN1D3_1	DCUN1D3	defective in cullin neddylation 1 domain containing 3 
DCUN1D3_2	DCUN1D3	defective in cullin neddylation 1 domain containing 3 
DCUN1D4_1	DCUN1D4	defective in cullin neddylation 1 domain containing 4 
DCUN1D4_2	DCUN1D4	defective in cullin neddylation 1 domain containing 4 
DCX_1	DCX	doublecortin isoform 2 
DDA1_1	DDA1	DET1- and DDB1-associated protein 1 
DDAH1_1	DDAH1	dimethylarginine dimethylaminohydrolase 1 
DDB1_1	DDB1	DNA damage-binding protein 1 
DDOST_1	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit 
DDO_1	DDO	D-aspartate oxidase 
DDRGK1_1	DDRGK1	DDRGK domain containing 1 
DDX10_1	DDX10	DEAD-box helicase 10 
DDX17_1	DDX17	DEAD-box helicase 17 
DDX18_1	DDX18	DEAD-box helicase 18 
DDX1_1	DDX1	DEAD-box helicase 1 
DDX20_1	DDX20	DEAD-box helicase 20 
DDX27_1	DDX27	DEAD-box helicase 27 
DDX42_1	DDX42	DEAD-box helicase 42 
DDX47_1	DDX47	DEAD-box helicase 47 
DDX49_1	DDX49	DEAD-box helicase 49 
DDX4_1	DDX4	
DDX54_1	DDX54	DEAD-box helicase 54 
DDX55_1	DDX55	DEAD-box helicase 55 
DDX5_1	DDX5	DEAD-box helicase 5 
DDX6_1	DDX6	Probable ATP-dependent RNA helicase DDX6 
DEAF1_1	DEAF1	DEAF1, transcription factor 
DECR1_1	DECR1	2,4-dienoyl-CoA reductase 1 
DECR2_1	DECR2	2,4-dienoyl-CoA reductase 2 
DEF6_1	DEF6	DEF6, guanine nucleotide exchange factor 
DEGS1_1	DEGS1	delta 4-desaturase, sphingolipid 1 
DEK_1	DEK	DEK proto-oncogene 
DENND1A_1	DENND1A	DENN domain containing 1A 
DENND5B_1	DENND5B	DENN domain containing 5B 
DENR_1	DENR	Density-regulated protein 
DEPDC1B_1	DEPDC1B	
DEPDC1_1	DEPDC1	DEP domain containing 1 
DEPDC7_1	DEPDC7	DEP domain containing 7 
DERA_1	DERA	deoxyribose-phosphate aldolase 
DERL1_1	DERL1	derlin 1 
DERL2_1	DERL2	derlin 2 
DERL3_1	DERL3	derlin 3 
DER_1	DER	D-erythrulose reductase 
DESI1_1	DESI1	desumoylating isopeptidase 1 
DESI2_1	DESI2	desumoylating isopeptidase 2 
DES_1	DES	desmin 
DFFA_1	DFFA	DNA fragmentation factor subunit alpha 
DGKZ_1	DGKZ	diacylglycerol kinase zeta 
DHCR7_1	DHCR7	7-dehydrocholesterol reductase 
DHDDS_1	DHDDS	dehydrodolichyl diphosphate synthase subunit 
DHODH_1	DHODH	dihydroorotate dehydrogenase 
DHRS11_1	DHRS11	dehydrogenase/reductase 11 
DHRS13_1	DHRS13	dehydrogenase/reductase 13 
DHRS3_1	DHRS3	dehydrogenase/reductase 3 
DHRS7B_1	DHRS7B	dehydrogenase/reductase 7B 
DHRS7C_1	DHRS7C	dehydrogenase/reductase 7C 
DHRS7_1	DHRS7	dehydrogenase/reductase 7 
DHRSX_1	DHRSX	dehydrogenase/reductase X-linked 
DHRSX_2	DHRSX	dehydrogenase/reductase X-linked 
DHX15_1	DHX15	DEAH-box helicase 15 
DHX30_1	DHX30	DExH-box helicase 30 
DHX33_1	DHX33	DEAH-box helicase 33 
DHX38_1	DHX38	DEAH-box helicase 38 
DIABLO_1	DIABLO	diablo IAP-binding mitochondrial protein 
DIAPH1_1	DIAPH1	protein diaphanous homolog 1 
DIEXF_1	DIEXF	digestive organ expansion factor homolog 
DIMT1_1	DIMT1	
DIS3L_1	DIS3L	DIS3 like exosome 3'-5' exoribonuclease 
DJ-1_1	DJ-1	Parkinsonism associated deglycase 
DKC1_1	DKC1	dyskerin pseudouridine synthase 1 
DKK3_1	DKK3	dickkopf WNT signaling pathway inhibitor 3 
DLD_1	DLD	dihydrolipoamide dehydrogenase 
DLG1_1	DLG1	discs large MAGUK scaffold protein 1 
DLGAP1_1	DLGAP1	DLG associated protein 1 
DLGAP4_1	DLGAP4	DLG associated protein 4 
DLGAP4_2	DLGAP4	DLG associated protein 4 
DLST_1	DLST	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial 
DLX1_1	DLX1	distal-less homeobox 1 
DLX3_1	DLX3	distal-less homeobox 3 
DLX5_1	DLX5	distal-less homeobox 5 
DLX6_1	DLX6	distal-less homeobox 6 
DMB2_1	DMB2	
DMRT1_1	DMRT1	
DMTF1_1	DMTF1	cyclin D binding myb like transcription factor 1 
DNA2_1	DNA2	DNA replication ATP-dependent helicase/nuclease DNA2 DNA replication nuclease DNA2 DNA replication ATP-dependent helicase DNA2 
DNAI1_1	DNAI1	
DNAJA1_1	DNAJA1	
DNAJA2_1	DNAJA2	DnaJ heat shock protein family member A2 
DNAJB12_1	DNAJB12	DnaJ heat shock protein family member B12 
DNAJB13_1	DNAJB13	DnaJ heat shock protein family member B13 
DNAJB14_1	DNAJB14	DnaJ heat shock protein family member B14 
DNAJB5_1	DNAJB5	
DNAJB9_1	DNAJB9	DnaJ heat shock protein family member B9 
DNAJC11_1	DNAJC11	DnaJ heat shock protein family member C11 
DNAJC12_1	DNAJC12	DnaJ heat shock protein family member C12 
DNAJC15_1	DNAJC15	DnaJ heat shock protein family member C15 
DNAJC16_1	DNAJC16	DnaJ homolog subfamily C member 16 
DNAJC17_1	DNAJC17	DnaJ heat shock protein family member C17 
DNAJC18_1	DNAJC18	DnaJ heat shock protein family member C18 
DNAJC19_1	DNAJC19	DnaJ heat shock protein family member C19 
DNAJC1_1	DNAJC1	DnaJ heat shock protein family member C1 
DNAJC24_1	DNAJC24	DnaJ heat shock protein family member C24 
DNAJC2_1	DNAJC2	DnaJ heat shock protein family member C2 
DNAJC3_1	DNAJC3	DnaJ homolog subfamily C member 3 
DNAJC5_1	DNAJC5	DnaJ heat shock protein family member C5 
DNAJC7_1	DNAJC7	DnaJ heat shock protein family member C7 
DNAJC8_1	DNAJC8	DnaJ heat shock protein family member C8 
DNAJC9_1	DNAJC9	DnaJ heat shock protein family member C9 
DNAL1_1	DNAL1	dynein axonemal light chain 1 
DNAL4_1	DNAL4	dynein axonemal light chain 4 
DNALI1_1	DNALI1	dynein axonemal light intermediate chain 1 
DNASE2B_1	DNASE2B	deoxyribonuclease 2 beta 
DNM1L_1	DNM1L	dynamin 1 like 
DNTTIP2_1	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 
DOHH_1	DOHH	deoxyhypusine hydroxylase 
DOK5_1	DOK5	docking protein 5 
DOLK_1	DOLK	dolichol kinase 
DOLPP1_1	DOLPP1	dolichyldiphosphatase 1 
DOT1L_1	DOT1L	DOT1 like histone lysine methyltransferase 
DPAGT1_1	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 
DPCD_1	DPCD	deleted in primary ciliary dyskinesia homolog 
DPF3_1	DPF3	double PHD fingers 3 
DPH1_1	DPH1	diphthamide biosynthesis 1 
DPH2_1	DPH2	DPH2 homolog 
DPH3_1	DPH3	diphthamide biosynthesis 3 
DPH5_1	DPH5	diphthamide biosynthesis 5 
DPH7_1	DPH7	diphthamide biosynthesis 7 
DPM1_1	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic 
DPM2_1	DPM2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory 
DPP10_1	DPP10	dipeptidyl peptidase like 10 
DPP4_1	DPP4	dipeptidyl peptidase 4 
DPP4_2	DPP4	dipeptidyl peptidase 4 
DPP7_1	DPP7	dipeptidyl peptidase 7 
DPT_1	DPT	dermatopontin 
DPY30_1	DPY30	dpy-30, histone methyltransferase complex regulatory subunit 
DPYSL2_1	DPYSL2	dihydropyrimidinase like 2 
DPYSL2_2	DPYSL2	dihydropyrimidinase like 2 
DPYSL3_1	DPYSL3	dihydropyrimidinase like 3 
DPYSL4_1	DPYSL4	dihydropyrimidinase like 4 
DPYSL4_2	DPYSL4	dihydropyrimidinase like 4 
DPYS_1	DPYS	dihydropyrimidinase 
DPYS_2	DPYS	dihydropyrimidinase 
DR1_1	DR1	down-regulator of transcription 1 
DRAXIN_1	DRAXIN	dorsal inhibitory axon guidance protein 
DRD4_1	DRD4	dopamine receptor D4 
DRG2_1	DRG2	developmentally regulated GTP binding protein 2 
DROSHA_1	DROSHA	drosha ribonuclease III 
DSCR3_1	DSCR3	DSCR3 arrestin fold containing 
DSTN_1	DSTN	destrin, actin depolymerizing factor 
DSTYK_1	DSTYK	dual serine/threonine and tyrosine protein kinase 
DST_1	DST	dystonin 
DTD1_1	DTD1	D-tyrosyl-tRNA deacylase 1 
DTL_1	DTL	denticleless E3 ubiquitin protein ligase homolog 
DTNA_1	DTNA	dystrobrevin alpha 
DTNBP1_1	DTNBP1	dystrobrevin binding protein 1 
DTNBP1_2	DTNBP1	dystrobrevin binding protein 1 
DTWD1_1	DTWD1	DTW domain containing 1 
DTWD2_1	DTWD2	
